Date,PM2.5,AQI,CO2,NO2
25/1/2021,24.71,78.03,240.78,2.32
27/1/2021,26.78,81.88,382.53,5.49
28/1/2021,15.37,55.32,211.93,5.97
29/1/2021,19.73,67.05,26.55,5.68
30/1/2021,26.62,81.69,304.07,7.36
31/1/2021,24.04,76.23,126.81,6.99
1/2/2021,15.2,55.55,87.61,6.73
2/2/2021,18.06,61,73.77,6.63
3/2/2021,20.04,67.35,480.08,7.55
4/2/2021,16.05,58.53,573.18,8.06
5/2/2021,14.18,50.85,267.03,7.82
6/2/2021,18.62,64.11,55.52,7.62
7/2/2021,22.61,73.21,14.53,7.35
8/2/2021,29.69,88.2,269.5,6.5
9/2/2021,9.91,36.46,183.88,6.54
10/2/2021,14.19,49.92,183.87,7.62
11/2/2021,16.03,54.33,150.95,7.69
12/2/2021,20.99,69.38,81.55,8.04
13/2/2021,22.68,72.76,705.24,7.85
14/2/2021,23.54,75.11,640.25,7.45
15/2/2021,29.2,87.86,466.19,8.23
16/2/2021,42.22,117.64,78.91,8.48
17/2/2021,32.57,93.42,166.54,7.86
18/2/2021,18.93,65.38,166.8,9.19
19/2/2021,15.81,58.8,439.46,9.33
20/2/2021,22.38,72.69,579.91,8.97
21/2/2021,23.28,74.92,63.9,8.45
22/2/2021,34.24,99.7,282.53,8.84
23/2/2021,37.16,105.76,212.95,8.49
24/2/2021,41.67,116.32,179.55,8.69
25/2/2021,46.75,124.22,160.64,9.12
26/2/2021,36.97,105.1,138.64,8.03
27/2/2021,38.47,109.55,137.68,8.61
28/2/2021,33.84,98.35,177.36,8.46
1/3/2021,27.3,83.33,187.06,8.53
2/3/2021,22.23,72.04,329.16,8.9
3/3/2021,17.56,59.36,381.07,9.6
4/3/2021,16.79,59.47,348.32,9.23
5/3/2021,16.78,59.45,370.98,9.9
6/3/2021,20.54,68.56,298.15,9.62
25/1/2021,24.71,78.03,240.78,2.32
27/1/2021,26.78,81.88,382.53,5.49
28/1/2021,15.37,55.32,211.93,5.97
29/1/2021,19.73,67.05,26.55,5.68
30/1/2021,26.62,81.69,304.07,7.36
31/1/2021,24.04,76.23,126.81,6.99
1/2/2021,15.2,55.55,87.61,6.73
2/2/2021,18.06,61,73.77,6.63
3/2/2021,20.04,67.35,480.08,7.55
4/2/2021,16.05,58.53,573.18,8.06
5/2/2021,14.18,50.85,267.03,7.82
6/2/2021,18.62,64.11,55.52,7.62
7/2/2021,22.61,73.21,14.53,7.35
8/2/2021,29.69,88.2,269.5,6.5
9/2/2021,9.91,36.46,183.88,6.54
10/2/2021,14.19,49.92,183.87,7.62
11/2/2021,16.03,54.33,150.95,7.69
12/2/2021,20.99,69.38,81.55,8.04
13/2/2021,22.68,72.76,705.24,7.85
14/2/2021,23.54,75.11,640.25,7.45
15/2/2021,29.2,87.86,466.19,8.23
16/2/2021,42.22,117.64,78.91,8.48
17/2/2021,32.57,93.42,166.54,7.86
18/2/2021,18.93,65.38,166.8,9.19
19/2/2021,15.81,58.8,439.46,9.33
20/2/2021,22.38,72.69,579.91,8.97
21/2/2021,23.28,74.92,63.9,8.45
22/2/2021,34.24,99.7,282.53,8.84
23/2/2021,37.16,105.76,212.95,8.49
24/2/2021,41.67,116.32,179.55,8.69
25/2/2021,46.75,124.22,160.64,9.12
26/2/2021,36.97,105.1,138.64,8.03
27/2/2021,38.47,109.55,137.68,8.61
28/2/2021,33.84,98.35,177.36,8.46
1/3/2021,27.3,83.33,187.06,8.53
2/3/2021,22.23,72.04,329.16,8.9
3/3/2021,17.56,59.36,381.07,9.6
4/3/2021,16.79,59.47,348.32,9.23
5/3/2021,16.78,59.45,370.98,9.9
6/3/2021,20.54,68.56,298.15,9.62
25/1/2021,24.71,78.03,240.78,2.32
27/1/2021,26.78,81.88,382.53,5.49
28/1/2021,15.37,55.32,211.93,5.97
29/1/2021,19.73,67.05,26.55,5.68
30/1/2021,26.62,81.69,304.07,7.36
31/1/2021,24.04,76.23,126.81,6.99
1/2/2021,15.2,55.55,87.61,6.73
2/2/2021,18.06,61,73.77,6.63
3/2/2021,20.04,67.35,480.08,7.55
4/2/2021,16.05,58.53,573.18,8.06
5/2/2021,14.18,50.85,267.03,7.82
6/2/2021,18.62,64.11,55.52,7.62
7/2/2021,22.61,73.21,14.53,7.35
8/2/2021,29.69,88.2,269.5,6.5
9/2/2021,9.91,36.46,183.88,6.54
10/2/2021,14.19,49.92,183.87,7.62
11/2/2021,16.03,54.33,150.95,7.69
12/2/2021,20.99,69.38,81.55,8.04
13/2/2021,22.68,72.76,705.24,7.85
14/2/2021,23.54,75.11,640.25,7.45
15/2/2021,29.2,87.86,466.19,8.23
16/2/2021,42.22,117.64,78.91,8.48
17/2/2021,32.57,93.42,166.54,7.86
18/2/2021,18.93,65.38,166.8,9.19
19/2/2021,15.81,58.8,439.46,9.33
20/2/2021,22.38,72.69,579.91,8.97
21/2/2021,23.28,74.92,63.9,8.45
22/2/2021,34.24,99.7,282.53,8.84
23/2/2021,37.16,105.76,212.95,8.49
24/2/2021,41.67,116.32,179.55,8.69
25/2/2021,46.75,124.22,160.64,9.12
26/2/2021,36.97,105.1,138.64,8.03
27/2/2021,38.47,109.55,137.68,8.61
28/2/2021,33.84,98.35,177.36,8.46
1/3/2021,27.3,83.33,187.06,8.53
2/3/2021,22.23,72.04,329.16,8.9
3/3/2021,17.56,59.36,381.07,9.6
4/3/2021,16.79,59.47,348.32,9.23
5/3/2021,16.78,59.45,370.98,9.9
6/3/2021,20.54,68.56,298.15,9.62
25/1/2021,24.71,78.03,240.78,2.32
27/1/2021,26.78,81.88,382.53,5.49
28/1/2021,15.37,55.32,211.93,5.97
29/1/2021,19.73,67.05,26.55,5.68
30/1/2021,26.62,81.69,304.07,7.36
31/1/2021,24.04,76.23,126.81,6.99
1/2/2021,15.2,55.55,87.61,6.73
2/2/2021,18.06,61,73.77,6.63
3/2/2021,20.04,67.35,480.08,7.55
4/2/2021,16.05,58.53,573.18,8.06
5/2/2021,14.18,50.85,267.03,7.82
6/2/2021,18.62,64.11,55.52,7.62
7/2/2021,22.61,73.21,14.53,7.35
8/2/2021,29.69,88.2,269.5,6.5
9/2/2021,9.91,36.46,183.88,6.54
10/2/2021,14.19,49.92,183.87,7.62
11/2/2021,16.03,54.33,150.95,7.69
12/2/2021,20.99,69.38,81.55,8.04
13/2/2021,22.68,72.76,705.24,7.85
14/2/2021,23.54,75.11,640.25,7.45
15/2/2021,29.2,87.86,466.19,8.23
16/2/2021,42.22,117.64,78.91,8.48
17/2/2021,32.57,93.42,166.54,7.86
18/2/2021,18.93,65.38,166.8,9.19
19/2/2021,15.81,58.8,439.46,9.33
20/2/2021,22.38,72.69,579.91,8.97
21/2/2021,23.28,74.92,63.9,8.45
22/2/2021,34.24,99.7,282.53,8.84
23/2/2021,37.16,105.76,212.95,8.49
24/2/2021,41.67,116.32,179.55,8.69
25/2/2021,46.75,124.22,160.64,9.12
26/2/2021,36.97,105.1,138.64,8.03
27/2/2021,38.47,109.55,137.68,8.61
28/2/2021,33.84,98.35,177.36,8.46
1/3/2021,27.3,83.33,187.06,8.53
2/3/2021,22.23,72.04,329.16,8.9
3/3/2021,17.56,59.36,381.07,9.6
4/3/2021,16.79,59.47,348.32,9.23
5/3/2021,16.78,59.45,370.98,9.9
6/3/2021,20.54,68.56,298.15,9.62
25/1/2021,24.71,78.03,240.78,2.32
27/1/2021,26.78,81.88,382.53,5.49
28/1/2021,15.37,55.32,211.93,5.97
29/1/2021,19.73,67.05,26.55,5.68
30/1/2021,26.62,81.69,304.07,7.36
31/1/2021,24.04,76.23,126.81,6.99
1/2/2021,15.2,55.55,87.61,6.73
2/2/2021,18.06,61,73.77,6.63
3/2/2021,20.04,67.35,480.08,7.55
4/2/2021,16.05,58.53,573.18,8.06
5/2/2021,14.18,50.85,267.03,7.82
6/2/2021,18.62,64.11,55.52,7.62
7/2/2021,22.61,73.21,14.53,7.35
8/2/2021,29.69,88.2,269.5,6.5
9/2/2021,9.91,36.46,183.88,6.54
10/2/2021,14.19,49.92,183.87,7.62
11/2/2021,16.03,54.33,150.95,7.69
12/2/2021,20.99,69.38,81.55,8.04
13/2/2021,22.68,72.76,705.24,7.85
14/2/2021,23.54,75.11,640.25,7.45
15/2/2021,29.2,87.86,466.19,8.23
16/2/2021,42.22,117.64,78.91,8.48
17/2/2021,32.57,93.42,166.54,7.86
18/2/2021,18.93,65.38,166.8,9.19
19/2/2021,15.81,58.8,439.46,9.33
20/2/2021,22.38,72.69,579.91,8.97
21/2/2021,23.28,74.92,63.9,8.45
22/2/2021,34.24,99.7,282.53,8.84
23/2/2021,37.16,105.76,212.95,8.49
24/2/2021,41.67,116.32,179.55,8.69
25/2/2021,46.75,124.22,160.64,9.12
26/2/2021,36.97,105.1,138.64,8.03
27/2/2021,38.47,109.55,137.68,8.61
28/2/2021,33.84,98.35,177.36,8.46
1/3/2021,27.3,83.33,187.06,8.53
2/3/2021,22.23,72.04,329.16,8.9
3/3/2021,17.56,59.36,381.07,9.6
4/3/2021,16.79,59.47,348.32,9.23
5/3/2021,16.78,59.45,370.98,9.9
6/3/2021,20.54,68.56,298.15,9.62
25/1/2021,24.71,78.03,240.78,2.32
27/1/2021,26.78,81.88,382.53,5.49
28/1/2021,15.37,55.32,211.93,5.97
29/1/2021,19.73,67.05,26.55,5.68
30/1/2021,26.62,81.69,304.07,7.36
31/1/2021,24.04,76.23,126.81,6.99
1/2/2021,15.2,55.55,87.61,6.73
2/2/2021,18.06,61,73.77,6.63
3/2/2021,20.04,67.35,480.08,7.55
4/2/2021,16.05,58.53,573.18,8.06
5/2/2021,14.18,50.85,267.03,7.82
6/2/2021,18.62,64.11,55.52,7.62
7/2/2021,22.61,73.21,14.53,7.35
8/2/2021,29.69,88.2,269.5,6.5
9/2/2021,9.91,36.46,183.88,6.54
10/2/2021,14.19,49.92,183.87,7.62
11/2/2021,16.03,54.33,150.95,7.69
12/2/2021,20.99,69.38,81.55,8.04
13/2/2021,22.68,72.76,705.24,7.85
14/2/2021,23.54,75.11,640.25,7.45
15/2/2021,29.2,87.86,466.19,8.23
16/2/2021,42.22,117.64,78.91,8.48
17/2/2021,32.57,93.42,166.54,7.86
18/2/2021,18.93,65.38,166.8,9.19
19/2/2021,15.81,58.8,439.46,9.33
20/2/2021,22.38,72.69,579.91,8.97
21/2/2021,23.28,74.92,63.9,8.45
22/2/2021,34.24,99.7,282.53,8.84
23/2/2021,37.16,105.76,212.95,8.49
24/2/2021,41.67,116.32,179.55,8.69
25/2/2021,46.75,124.22,160.64,9.12
26/2/2021,36.97,105.1,138.64,8.03
27/2/2021,38.47,109.55,137.68,8.61
28/2/2021,33.84,98.35,177.36,8.46
1/3/2021,27.3,83.33,187.06,8.53
2/3/2021,22.23,72.04,329.16,8.9
3/3/2021,17.56,59.36,381.07,9.6
4/3/2021,16.79,59.47,348.32,9.23
5/3/2021,16.78,59.45,370.98,9.9
6/3/2021,20.54,68.56,298.15,9.62
25/1/2021,24.71,78.03,240.78,2.32
27/1/2021,26.78,81.88,382.53,5.49
28/1/2021,15.37,55.32,211.93,5.97
29/1/2021,19.73,67.05,26.55,5.68
30/1/2021,26.62,81.69,304.07,7.36
31/1/2021,24.04,76.23,126.81,6.99
1/2/2021,15.2,55.55,87.61,6.73
2/2/2021,18.06,61,73.77,6.63
3/2/2021,20.04,67.35,480.08,7.55
4/2/2021,16.05,58.53,573.18,8.06
5/2/2021,14.18,50.85,267.03,7.82
6/2/2021,18.62,64.11,55.52,7.62
7/2/2021,22.61,73.21,14.53,7.35
8/2/2021,29.69,88.2,269.5,6.5
9/2/2021,9.91,36.46,183.88,6.54
10/2/2021,14.19,49.92,183.87,7.62
11/2/2021,16.03,54.33,150.95,7.69
12/2/2021,20.99,69.38,81.55,8.04
13/2/2021,22.68,72.76,705.24,7.85
14/2/2021,23.54,75.11,640.25,7.45
15/2/2021,29.2,87.86,466.19,8.23
16/2/2021,42.22,117.64,78.91,8.48
17/2/2021,32.57,93.42,166.54,7.86
18/2/2021,18.93,65.38,166.8,9.19
19/2/2021,15.81,58.8,439.46,9.33
20/2/2021,22.38,72.69,579.91,8.97
21/2/2021,23.28,74.92,63.9,8.45
22/2/2021,34.24,99.7,282.53,8.84
23/2/2021,37.16,105.76,212.95,8.49
24/2/2021,41.67,116.32,179.55,8.69
25/2/2021,46.75,124.22,160.64,9.12
26/2/2021,36.97,105.1,138.64,8.03
27/2/2021,38.47,109.55,137.68,8.61
28/2/2021,33.84,98.35,177.36,8.46
1/3/2021,27.3,83.33,187.06,8.53
2/3/2021,22.23,72.04,329.16,8.9
3/3/2021,17.56,59.36,381.07,9.6
4/3/2021,16.79,59.47,348.32,9.23
5/3/2021,16.78,59.45,370.98,9.9
6/3/2021,20.54,68.56,298.15,9.62
