Date,PM2.5,PM10,PM1,PM4,AQI,CO2,NO2
22/2/2021,39.55636481,39.80397154,37.69874515,39.78033635,110.587969,344.6338939,18.9412766
23/2/2021,43.0327116,43.28815047,41.02841693,43.26388715,119.2671944,366.1865204,18.2203125
24/2/2021,49.64094595,49.8622973,47.41388889,49.84136637,132.0393844,363.1276276,17.78529412
25/2/2021,57.09937984,58.15951938,53.60530233,58.05910078,143.613907,397.055814,15.43136364
26/2/2021,45.02611253,45.57413043,42.60400256,45.5220844,123.0753069,289.9961637,19.64772727
27/2/2021,46.47899841,47.32591415,43.65329094,47.24537361,123.5268839,349.4117647,18.33989583
28/2/2021,43.14364318,44.01281859,40.42431784,43.93050975,117.5305997,331.6701649,18.30223464
1/3/2021,33.71787106,34.02113943,32.02826087,33.99238381,97.42842579,346.6701649,18.61084507
2/3/2021,26.42909884,26.50655523,25.2899564,26.49925872,81.23178779,348.9593023,17.5342953
3/3/2021,15.92118257,15.9529668,15.25226141,15.94993776,55.39539419,500.1970954,18.07794118
4/3/2021,18.39104449,18.3959381,17.65470019,18.39547389,64.13694391,363.8878143,18.51039867
5/3/2021,17.37512156,17.46863857,16.57688817,17.45985413,60.98291734,344.3176661,16.50092857
6/3/2021,25.26871756,25.33419847,24.18958779,25.3280458,79.15471756,355.9221374,18.5174375
