Date,PM2.5,AQI,CO2,NO2
25/1/2021,24.71,78.03,240.78,4.56
27/1/2021,26.78,81.88,382.53,10.94
28/1/2021,15.37,55.32,211.93,11.9
29/1/2021,19.73,67.05,26.55,11.32
30/1/2021,26.62,81.69,304.07,14.71
31/1/2021,24.04,76.23,126.81,13.96
1/2/2021,15.2,55.55,87.61,13.44
2/2/2021,18.06,61,73.77,13.23
3/2/2021,20.04,67.35,480.08,15.09
4/2/2021,16.05,58.53,573.18,16.11
5/2/2021,14.18,50.85,267.03,15.63
6/2/2021,18.62,64.11,55.52,15.22
7/2/2021,22.61,73.21,14.53,14.68
8/2/2021,29.69,88.2,269.5,12.97
9/2/2021,9.91,36.46,183.88,13.05
10/2/2021,14.19,49.92,183.87,15.22
11/2/2021,16.03,54.33,150.95,15.37
12/2/2021,20.99,69.38,81.55,16.07
13/2/2021,22.68,72.76,705.24,15.69
14/2/2021,23.54,75.11,640.25,14.89
15/2/2021,29.2,87.86,466.19,16.46
16/2/2021,42.22,117.64,78.91,16.96
17/2/2021,32.57,93.42,166.54,15.7
18/2/2021,18.93,65.38,166.8,18.38
19/2/2021,15.81,58.8,439.46,18.67
20/2/2021,22.38,72.69,579.91,17.94
21/2/2021,23.28,74.92,63.9,16.9
22/2/2021,34.24,99.7,282.53,17.69
23/2/2021,37.16,105.76,212.95,16.97
24/2/2021,41.67,116.32,179.55,17.37
25/2/2021,46.75,124.22,160.64,18.24
26/2/2021,36.97,105.1,138.64,16.06
27/2/2021,38.47,109.55,137.68,17.21
28/2/2021,33.84,98.35,177.36,16.91
1/3/2021,27.3,83.33,187.06,17.05
2/3/2021,22.23,72.04,329.16,17.81
3/3/2021,17.56,59.36,381.07,19.21
4/3/2021,16.79,59.47,348.32,18.46
5/3/2021,16.78,59.45,370.98,19.81
6/3/2021,20.54,68.56,298.15,19.25
25/1/2021,24.71,78.03,240.78,4.56
27/1/2021,26.78,81.88,382.53,10.94
28/1/2021,15.37,55.32,211.93,11.9
29/1/2021,19.73,67.05,26.55,11.32
30/1/2021,26.62,81.69,304.07,14.71
31/1/2021,24.04,76.23,126.81,13.96
1/2/2021,15.2,55.55,87.61,13.44
2/2/2021,18.06,61,73.77,13.23
3/2/2021,20.04,67.35,480.08,15.09
4/2/2021,16.05,58.53,573.18,16.11
5/2/2021,14.18,50.85,267.03,15.63
6/2/2021,18.62,64.11,55.52,15.22
7/2/2021,22.61,73.21,14.53,14.68
8/2/2021,29.69,88.2,269.5,12.97
9/2/2021,9.91,36.46,183.88,13.05
10/2/2021,14.19,49.92,183.87,15.22
11/2/2021,16.03,54.33,150.95,15.37
12/2/2021,20.99,69.38,81.55,16.07
13/2/2021,22.68,72.76,705.24,15.69
14/2/2021,23.54,75.11,640.25,14.89
15/2/2021,29.2,87.86,466.19,16.46
16/2/2021,42.22,117.64,78.91,16.96
17/2/2021,32.57,93.42,166.54,15.7
18/2/2021,18.93,65.38,166.8,18.38
19/2/2021,15.81,58.8,439.46,18.67
20/2/2021,22.38,72.69,579.91,17.94
21/2/2021,23.28,74.92,63.9,16.9
22/2/2021,34.24,99.7,282.53,17.69
